,Nmax,Ric_adim,delta,exp,folder,phi_r,phi_top,remarks,sum_phi,tau_ic,dot_r
0,2000,0.0574085213996628,669770.0,0.5,exp_5.00e-01_coeff_1.47e+01_radius_5.74e-02,0.3999999754708479,0.3999999957424675,,0.4,1.5349394088851045e-05,1870.0582272938445
0,2000,0.2605964200741792,0.038043,0.5,exp_5.00e-01_coeff_1.15e-02_radius_2.61e-01,0.002216744858360098,0.3129038620768291,,0.18131,512.9319460495927,0.00025402631097672313
0,2000,14.07712328419354,1477700.0,0.5,exp_5.00e-01_coeff_6.01e+02_radius_1.41e+01,0.3999973626520701,0.399999565512598,,0.4,0.0005477855605351587,12849.118613532733
0,2000,5.937095156280664,63.613,0.5,exp_5.00e-01_coeff_3.91e+00_radius_5.94e+00,0.3760063449572391,0.39636063501366414,,0.39095,2.3083967899925275,1.285978039395013
0,2000,1.5483813670613307,34.059,0.5,exp_5.00e-01_coeff_2.02e+00_radius_1.55e+00,0.3875429003395665,0.398159313933138,,0.39549,0.5847027875461444,1.3240755816810035
0,2000,25.513674218566592,0.8802399999999999,0.5,exp_5.00e-01_coeff_1.36e+00_radius_2.55e+01,0.13164964298194592,0.08753310767139942,,0.1476,350.68494138032554,0.03637691729525456
0,2000,0.004777743571039663,26401000.0,0.5,exp_5.00e-01_coeff_7.13e+00_radius_4.78e-03,0.3999999999401457,0.3999999999896142,,0.4,4.4924524636485906e-07,5317.522677979958
0,2000,3.1394732514245978,140120.0,0.5,exp_5.00e-01_coeff_1.67e+02_radius_3.14e+00,0.39999381203173856,0.3999991256269311,,0.4,0.0003526290262340086,4451.524148413704
0,2000,2.853100852453314,0.0095382,0.5,exp_5.00e-01_coeff_1.04e-02_radius_2.85e+00,0.0018374142701242933,2.274352416675729e-05,,0.0068642,75362.46017934906,1.892919130866647e-05
0,4000,10.0,408.61,0.5,exp_5.00e-01_coeff_1.00e+01_radius_1.00e+01,0.39335746947441774,0.3989394120528621,,0.39747,1.0,5.0
0,2000,3.2492461496144656,0.090974,0.5,exp_5.00e-01_coeff_1.03e-01_radius_3.25e+00,0.022254650527837816,0.008574499491315168,,0.053438,996.9388690843389,0.0016296115290392928
0,2000,1.1434583690856719,1357.3,0.5,exp_5.00e-01_coeff_1.06e+01_radius_1.14e+00,0.39976285966229175,0.39996291010729457,,0.39991,0.011540717659398035,49.54017604591996
0,2000,0.498047948252515,0.021830000000000002,0.5,exp_5.00e-01_coeff_9.76e-03_radius_4.98e-01,0.0011333323842771525,0.06953900284533321,,0.074659,2603.3371157033466,9.56556769479232e-05
0,2000,0.32159304388129545,64.27199999999999,0.5,exp_5.00e-01_coeff_7.88e-01_radius_3.22e-01,0.3985749256226697,0.3997563790765524,,0.39946,0.16644553834337508,0.9660608721690485
0,2000,0.01979419711632989,16585000.0,0.5,exp_5.00e-01_coeff_2.56e+01_radius_1.98e-02,0.39999999966974376,0.3999999999426619,,0.4,5.986029893970193e-07,16533.660428482697
0,2000,1.5204646938421236,1005700.0,0.5,exp_5.00e-01_coeff_3.44e+02_radius_1.52e+00,0.3999995767652321,0.3999999363169907,,0.4,1.9581415987534015e-05,38824.17632131626
0,2000,0.9690751309881611,3594000.0,0.5,exp_5.00e-01_coeff_4.88e+02_radius_9.69e-01,0.3999999238044867,0.39999998782706814,,0.4,3.944033711394103e-06,122853.30221551539
0,5000,263.42316832396006,6.3094,0.5,exp_5.00e-01_coeff_1.05e-01_radius_2.63e+02,0.002657634528499653,1.012186349624855e-06,,0.00026283,6317365.3453485975,2.0849132029218118e-05
0,2000,12.832815573903593,0.015028999999999999,0.5,exp_5.00e-01_coeff_3.45e-02_radius_1.28e+01,0.0040028272579463176,5.3512433174085494e-05,,0.0024954,137987.7193511071,4.649984663218739e-05
0,2000,0.9393332452618911,0.045801999999999995,0.5,exp_5.00e-01_coeff_2.78e-02_radius_9.39e-01,0.004400354047499167,0.09631603848930714,,0.081876,1139.0138789264959,0.0004123449514711792
0,2000,0.10242924743948728,1563.9,0.5,exp_5.00e-01_coeff_1.26e+00_radius_1.02e-01,0.3999812752962517,0.3999967529782504,,0.39999,0.006587856816664907,7.774094845259701
0,2000,0.484408038434532,27.241,0.5,exp_5.00e-01_coeff_7.54e-01_radius_4.84e-01,0.3949745210549834,0.3991595516829488,,0.3981,0.41286282565947574,0.5866452588226796
0,4000,10.0,0.0053493,0.5,exp_5.00e-01_coeff_3.16e-03_radius_1.00e+01,0.00019833714908423783,3.0196500855339536e-07,,0.00038058,9999999.999999998,5.000000000000001e-07
0,4000,10.0,0.30571,0.5,exp_5.00e-01_coeff_5.01e-01_radius_1.00e+01,0.07316060311023909,0.026765562763122364,,0.08382,398.1071705534973,0.012559432157547899
0,2000,0.0010217460164122856,202200.0,0.5,exp_5.00e-01_coeff_1.44e-01_radius_1.02e-03,0.3999999985561671,0.3999999997492909,,0.4,5.069138199254035e-05,10.078103774746602
0,2000,5.525982072151029,0.037975,0.5,exp_5.00e-01_coeff_5.86e-02_radius_5.53e+00,0.010388753930660187,0.00037612563678524063,,0.014558000000000001,8893.528604219702,0.0003106743295079257
0,2000,0.10524797468844974,675250.0,0.5,exp_5.00e-01_coeff_2.69e+01_radius_1.05e-01,0.3999999554655373,0.399999992277551,,0.4,1.5252234177890657e-05,3450.2477952054774
0,2000,13.6146672525437,13.895,0.5,exp_5.00e-01_coeff_2.17e+00_radius_1.36e+01,0.2663554363317091,0.3631845620865176,,0.32989,39.217966421781476,0.17357691505623526
0,5000,645.5643609825134,20.408,0.5,exp_5.00e-01_coeff_3.69e-01_radius_6.46e+02,0.006017787711992351,1.1262165570347095e-05,,0.0003773,3060433.22767429,0.00010546944059176486
0,2000,0.10910142638455374,48572.0,0.5,exp_5.00e-01_coeff_7.49e+00_radius_1.09e-01,0.39999935786873786,0.3999998886635321,,0.4,0.00021222662153145316,257.0399170407194
0,2000,1.153181204162645,0.5274,0.5,exp_5.00e-01_coeff_2.14e-01_radius_1.15e+00,0.10398403957253756,0.3603930554597188,,0.28496,28.990597351785112,0.019888883112159073
0,4000,10.0,38.291,0.5,exp_5.00e-01_coeff_3.16e+00_radius_1.00e+01,0.3410186400873261,0.3892388570967512,,0.37533,9.999999999999998,0.5000000000000001
0,2000,0.002420184953828011,49543000.0,0.5,exp_5.00e-01_coeff_8.71e+00_radius_2.42e-03,0.3999999999948015,0.39999999999910185,,0.4,7.722938278998088e-08,15668.809372784386
0,2000,0.011959582679837728,79.40899999999999,0.5,exp_5.00e-01_coeff_3.33e-02_radius_1.20e-02,0.3999569289516923,0.3999925219916979,,0.39998,0.12920750049816315,0.04628052796365234
0,2000,0.25540899358338515,184300.0,0.5,exp_5.00e-01_coeff_3.38e+01_radius_2.55e-01,0.3999996041583483,0.3999999318053923,,0.4,5.717157243572344e-05,2233.7062171110915
0,2000,0.09753967784651423,5620.6,0.5,exp_5.00e-01_coeff_2.28e+00_radius_9.75e-02,0.3999950384585689,0.3999991394948797,,0.4,0.0018322951389647658,26.616803093639017
0,2000,6.637426869460117,1520400.0,0.5,exp_5.00e-01_coeff_6.02e+02_radius_6.64e+00,0.3999988031348388,0.3999998216296261,,0.4,0.00012172113287958286,27264.891118070835
0,4000,10.0,41080.0,0.5,exp_5.00e-01_coeff_1.00e+02_radius_1.00e+01,0.3999327132958117,0.3999894072888657,,0.39997,0.010000000000000002,499.9999999999999
0,2000,56.46395396856435,0.036912,0.5,exp_5.00e-01_coeff_1.10e-01_radius_5.65e+01,0.006090247144182936,8.664688686310651e-05,,0.0012007,263682.5266115784,0.00010706806153245686
0,2000,0.10203962537846681,489.68,0.5,exp_5.00e-01_coeff_7.03e-01_radius_1.02e-01,0.3999404318692902,0.399989671290886,,0.39998,0.021038291199280926,2.4250929985690677
0,2000,3.7255102063563883,117.28,0.5,exp_5.00e-01_coeff_5.01e+00_radius_3.73e+00,0.3914110774817332,0.398780689159104,,0.39691,0.5529161001029801,3.368965206170082
0,19997,316.22776601683796,0.097427,0.5,exp_5.00e-01_coeff_1.12e+00_radius_3.16e+02,0.027244636307837574,0.0025730842554968487,,0.0075653000000000005,79056.9415042095,0.0019999999999999996
0,2000,44.35005149092273,0.21083000000000002,0.5,exp_5.00e-01_coeff_3.51e-02_radius_4.44e+01,0.002176147021404562,3.222595612362156e-06,,0.00065415,1597815.3745057618,1.3878340451142906e-05
0,2000,0.00513238930871714,85608000.0,0.5,exp_5.00e-01_coeff_2.55e+01_radius_5.13e-03,0.3999999999942203,0.3999999999990005,,0.4,4.0521041484219466e-08,63329.92836223003
0,2000,0.004611513012238327,66516.0,0.5,exp_5.00e-01_coeff_3.71e-01_radius_4.61e-03,0.3999999801409141,0.3999999965516464,,0.4,0.00015448372009265658,14.925563060859822
0,2000,0.16872096273966694,0.08531,0.5,exp_5.00e-01_coeff_1.50e-02_radius_1.69e-01,0.1051136380747454,0.3638422333953054,,0.29362,126.52453295088657,0.0006667519681940256
0,5000,204.35770982789597,101.59,0.5,exp_5.00e-01_coeff_3.38e-02_radius_2.04e+02,0.0009691609212438834,1.905074387131833e-08,,0.00024129,36605671.18839667,2.7913394727300292e-06
0,2000,1.6209310983355587,8864800.0,0.5,exp_5.00e-01_coeff_1.05e+03_radius_1.62e+00,0.3999999488813876,0.39999999237480144,,0.4,2.363071074445074e-06,342971.2960953166
0,2000,12.637003205922007,10378.0,0.5,exp_5.00e-01_coeff_5.04e+01_radius_1.26e+01,0.39966372230901737,0.3999453194154536,,0.39987,0.06290235294694102,100.44936805926392
0,2000,0.043637436907864445,103860.0,0.5,exp_5.00e-01_coeff_4.39e+00_radius_4.36e-02,0.3999998798352299,0.3999999791393569,,0.4,9.886450119441283e-05,220.6931526516949
0,2000,8.784403190089245,0.005302899999999999,0.5,exp_5.00e-01_coeff_8.69e-03_radius_8.78e+00,0.0011933646511977927,4.003485405412732e-06,,0.0011085000000000001,1020835.4704699337,4.302555820305407e-06
0,2000,22.43845906223667,8383.8,0.5,exp_5.00e-01_coeff_4.53e+01_radius_2.24e+01,0.39925654412850775,0.39987067764645146,,0.39971,0.2449491776768519,45.80227473112506
0,2000,3.354691083563123,291.64,0.5,exp_5.00e-01_coeff_7.74e+00_radius_3.35e+00,0.3968474160719654,0.3995544604864572,,0.39887,0.1878375743596102,8.929765769708709
0,2000,156.30988425431732,25.8,0.5,exp_5.00e-01_coeff_9.23e-02_radius_1.56e+02,0.0030535762579171344,1.1323431184928623e-06,,0.0006245,2867698.6253045937,2.725354102328567e-05
0,2000,0.10437401254979493,26216000.0,0.5,exp_5.00e-01_coeff_1.67e+02_radius_1.04e-01,0.3999999988662336,0.3999999998033914,,0.4,3.9151393322655973e-07,133295.39984646754
0,2000,0.0023571638444999615,148.94,0.5,exp_5.00e-01_coeff_8.98e-03_radius_2.36e-03,0.3999954734312885,0.39999921400965854,,0.4,0.06888837909260304,0.01710857386651056
0,4000,200.0,0.27064,0.5,exp_5.00e-01_coeff_2.00e-01_radius_2.00e+02,0.005847752114622851,3.802950291287299e-05,,0.00053418,1004754.5726038319,9.952679263837432e-05
0,2000,0.0009377990248833965,7377200.0,0.5,exp_5.00e-01_coeff_2.28e+00_radius_9.38e-04,0.3999999999955853,0.3999999999992288,,0.4,1.686961590442254e-07,2779.5506139459376
0,2000,0.2199420604716383,5105700.0,0.5,exp_5.00e-01_coeff_1.54e+02_radius_2.20e-01,0.3999999876790906,0.39999999787314544,,0.4,2.0517788935034505e-06,53597.89526250637
0,2000,0.021629813860826463,108.4,0.5,exp_5.00e-01_coeff_7.03e-02_radius_2.16e-02,0.39994293952365934,0.3999900938750319,,0.39998,0.0946611202358093,0.11424866833893718
0,2000,0.0025570506577139206,16630000.0,0.5,exp_5.00e-01_coeff_2.54e+01_radius_2.56e-03,0.3999999999993019,0.3999999999998467,,0.4,1.0122475695115188e-08,126305.59631513261
0,2000,1.5313414933187615,0.15902,0.5,exp_5.00e-01_coeff_1.11e-01_radius_1.53e+00,0.02267319189225725,0.2672925305409002,,0.14623,189.8943256898696,0.004032088604426517
0,2000,17.005171185082105,299.85,0.5,exp_5.00e-01_coeff_8.62e+00_radius_1.70e+01,0.3849149157286874,0.3973417758869443,,0.39399,3.8937945272744394,2.183624619374216
0,2000,57.962562893029805,108.0,0.5,exp_5.00e-01_coeff_1.15e-02_radius_5.80e+01,0.0006256433261965232,4.13673184596064e-09,,0.00059994,25220698.263846144,1.1491070208813191e-06
0,20000,100.0,0.047848,0.5,exp_5.00e-01_coeff_3.16e-01_radius_1.00e+02,0.013265641788017368,0.0006163840194076675,,0.0025444,99999.99999999999,0.0005000000000000001
0,4000,10.0,0.16538,0.5,exp_5.00e-01_coeff_3.16e-01_radius_1.00e+01,0.044358965095290914,0.006981633926181896,,0.044182,1000.0,0.005
0,20000,100.0,1.3643,0.5,exp_5.00e-01_coeff_3.16e+00_radius_1.00e+02,0.15496749962311984,0.18461799130970635,,0.16997,1000.0,0.05
0,2000,26.50449550205117,0.21391,0.5,exp_5.00e-01_coeff_6.43e-01_radius_2.65e+01,0.05678906645433135,0.011721086535332879,,0.040723,1696.8704941310345,0.007809816834496876
0,2000,54.44232837259168,95442.0,0.5,exp_5.00e-01_coeff_1.53e+02_radius_5.44e+01,0.3998408274301691,0.3999707343755016,,0.39994,0.12666655955958692,214.90410950563765
0,2000,1.0112797286143707,0.052127,0.5,exp_5.00e-01_coeff_3.27e-02_radius_1.01e+00,0.00536726649132746,0.11141294435435244,,0.085796,954.8703773853151,0.000529537700909478
0,4000,199.99999999999997,0.07904,0.5,exp_5.00e-01_coeff_6.31e-01_radius_2.00e+02,0.018974073669598582,0.0011097155615672485,,0.0039755,100475.45726038319,0.0009952679263837431
0,2000,0.2270701127822562,27.185,0.5,exp_5.00e-01_coeff_3.66e-01_radius_2.27e-01,0.3976224937636875,0.39959202984314623,,0.39909,0.38539835990238547,0.29459143629953305
0,2000,12.425675604354675,41385.0,0.5,exp_5.00e-01_coeff_1.01e+02_radius_1.24e+01,0.3999170428402703,0.39998654896417496,,0.39997,0.015257247971782394,407.20566472195424
0,2000,64.47791120357188,381.97,0.5,exp_5.00e-01_coeff_9.81e+00_radius_6.45e+01,0.35832107630313914,0.39083718329652106,,0.38178,43.192120835293636,0.7464082563744469
0,2000,1.0905937421996217,2835.9,0.5,exp_5.00e-01_coeff_1.49e+01_radius_1.09e+00,0.3998915876933676,0.3999829350557397,,0.39996,0.005357091222867935,101.78973036189676
0,4000,10.0,0.098484,0.5,exp_5.00e-01_coeff_2.00e-01_radius_1.00e+01,0.02720749232707176,0.002564550146877398,,0.024426,2511.88643150958,0.0019905358527674867
0,2000,3.1485403883397436,335920.0,0.5,exp_5.00e-01_coeff_2.59e+02_radius_3.15e+00,0.39999741153287904,0.39999963425189977,,0.4,0.00014775567311851068,10654.549912998562
0,2000,55.79393542852075,2892.7,0.5,exp_5.00e-01_coeff_2.67e+01_radius_5.58e+01,0.39468520949000574,0.3990029799489481,,0.39786,4.3814857829910245,6.3670108944679695
0,4000,1.0,0.024544,0.5,exp_5.00e-01_coeff_1.58e-02_radius_1.00e+00,0.0024554476885751964,0.002698917900992193,,0.045063,3981.071705534973,0.000125594321575479
0,2000,54.53251529357041,283080.0,0.5,exp_5.00e-01_coeff_2.63e+02_radius_5.45e+01,0.3999461992290249,0.39999011130717577,,0.39998,0.042875096245694744,635.9462726459329
0,2000,0.2071173820128501,0.41039,0.5,exp_5.00e-01_coeff_4.12e-02_radius_2.07e-01,0.2826221596785964,0.3837184898645996,,0.35823,25.213791942180364,0.004107223984551917
0,2000,0.34878896536594295,0.023365,0.5,exp_5.00e-01_coeff_8.57e-03_radius_3.49e-01,0.0008457275675077812,0.1841301449285472,,0.10512,1657.854964505795,0.0001051928464290954
0,2000,0.10278782072106853,7375100.0,0.5,exp_5.00e-01_coeff_8.67e+01_radius_1.03e-01,0.3999999959880728,0.39999999930426394,,0.4,1.4065842912877217e-06,36538.09492887437
0,2000,26.169280661814508,0.016069,0.5,exp_5.00e-01_coeff_4.00e-02_radius_2.62e+01,0.003241846135970339,2.6920257769957878e-05,,0.0010859,427052.13315137365,3.063944496506999e-05
0,2000,0.5002759922360178,1135500.0,0.5,exp_5.00e-01_coeff_1.58e+02_radius_5.00e-01,0.3999998744871293,0.3999999788098032,,0.4,9.972122738816588e-06,25083.72617039141
0,2000,3.4800057606367267,9288.8,0.5,exp_5.00e-01_coeff_4.39e+01_radius_3.48e+00,0.3998967156958533,0.399985397693552,,0.39996,0.00627377203927561,277.34556968685615
0,1999,572.1707170036262,0.39053000000000004,0.5,exp_5.00e-01_coeff_3.07e+00_radius_5.72e+02,0.05849328139596111,0.011630146386922058,,0.031058999999999996,34721.55017868512,0.008239417797579652
0,2000,154.97474211554058,3091.8,0.5,exp_5.00e-01_coeff_2.76e+01_radius_1.55e+02,0.3864841975506328,0.39731358644409975,,0.39442,31.487057028539482,2.460927707138101
0,2000,0.31075251721739106,7.0438,0.5,exp_5.00e-01_coeff_2.53e-01_radius_3.11e-01,0.3876521166050325,0.3979389889325814,,0.39533,1.5129962135878727,0.10269441338537195
0,2000,0.2340716881240478,2.0097,0.5,exp_5.00e-01_coeff_1.03e-01_radius_2.34e-01,0.3683928659521445,0.39491631576638464,,0.38819000000000004,5.207057378078234,0.022476388402160888
0,4000,10.0,4106.9,0.5,exp_5.00e-01_coeff_3.16e+01_radius_1.00e+01,0.3993279184380153,0.3998940612480475,,0.39975,0.1,50.0
0,2000,97.14848777648425,8.0225,0.5,exp_5.00e-01_coeff_3.98e+00_radius_9.71e+01,0.19770913014612448,0.24797834739259594,,0.23947,594.4529840790501,0.08171250744664904
0,2000,1.026122495455695,12355000.0,0.5,exp_5.00e-01_coeff_9.43e+02_radius_1.03e+00,0.3999999765606653,0.3999999962812344,,0.4,1.1845522582673264e-06,433126.73134262115
0,2000,24.02798262634578,0.45483,0.5,exp_5.00e-01_coeff_9.67e-03_radius_2.40e+01,0.0008203696715622932,1.3890838890251445e-07,,0.00060961,6170403.116114672,1.9470350781129774e-06
0,2000,0.009404625008571687,84709000.0,0.5,exp_5.00e-01_coeff_2.55e+01_radius_9.40e-03,0.3999999999642239,0.3999999999937856,,0.4,1.364259016714417e-07,34467.88657193964
0,4000,200.0,0.5168699999999999,0.5,exp_5.00e-01_coeff_3.16e+00_radius_2.00e+02,0.10725137786922644,0.05333867207979115,,0.093821,4000.0,0.025
0,2000,15.261709235450558,54.114,0.5,exp_5.00e-01_coeff_3.78e+00_radius_1.53e+01,0.337316179220156,0.38723271797377795,,0.37259000000000003,16.32698691686361,0.4673767827818628
0,2000,0.5323738793070222,0.55835,0.5,exp_5.00e-01_coeff_1.19e-01_radius_5.32e-01,0.2108096826429372,0.3758452796001209,,0.33361,20.1110430533446,0.01323585947021492
0,2000,0.009660533888701757,51029.0,0.5,exp_5.00e-01_coeff_6.81e-01_radius_9.66e-03,0.3999999458636959,0.3999999905998003,,0.4,0.00020103320658242005,24.027209367376603
0,1994,29.39094371349095,0.10252,0.5,exp_5.00e-01_coeff_3.53e-01_radius_2.94e+01,0.028239809946225436,0.0027204479532150216,,0.013732,6942.769817673739,0.002116658371610738
0,2000,1.09753797948466,0.95688,0.5,exp_5.00e-01_coeff_2.82e-01_radius_1.10e+00,0.1900333946016345,0.3730782962765081,,0.32456999999999997,15.124855716672503,0.03628259336962854
0,2000,0.208416529548125,197520.0,0.5,exp_5.00e-01_coeff_2.87e+01_radius_2.08e-01,0.39999969852357903,0.3999999479278877,,0.4,5.286962421666244e-05,1971.0422821810057
0,2000,28.026343105927467,4.405,0.5,exp_5.00e-01_coeff_2.08e+00_radius_2.80e+01,0.192602879056588,0.24520072746411206,,0.24404,181.3758451045937,0.07726040667037433
0,2000,28.97911397808161,4554.2,0.5,exp_5.00e-01_coeff_3.34e+01_radius_2.90e+01,0.3982346617757541,0.3996850011885191,,0.3993,0.7515528715033857,19.279491222029787
0,2000,0.0498569754457224,1.5425,0.5,exp_5.00e-01_coeff_1.93e-02_radius_4.99e-02,0.3908924478049849,0.3984525937557269,,0.39653,6.652825284612401,0.0037470528168715546
0,2000,52.94784982498411,42.918,0.5,exp_5.00e-01_coeff_3.95e+00_radius_5.29e+01,0.2516073301265421,0.33386695042618497,,0.30985,179.9882224782302,0.14708698462586411
0,2000,46.78692970332177,0.22509,0.5,exp_5.00e-01_coeff_8.96e-01_radius_4.68e+01,0.05981969224194982,0.013117569712931432,,0.038862,2723.8356983724693,0.008588427292306512
0,2000,1.0589091575986018,0.028983999999999996,0.5,exp_5.00e-01_coeff_1.92e-02_radius_1.06e+00,0.00310708358686973,0.006117723895212257,,0.049772000000000004,3050.007044094968,0.00017359126426424583
0,2000,0.11781559347455042,12291.0,0.5,exp_5.00e-01_coeff_4.07e+00_radius_1.18e-01,0.3999972598271031,0.3999995250106352,,0.4,0.0008393718873058015,70.18080737294673
0,1994,1.4944489648065191,0.023375999999999997,0.5,exp_5.00e-01_coeff_1.86e-02_radius_1.49e+00,0.0033288466238232672,0.00016075726183184536,,0.030045,6485.597942376849,0.00011521289001294706
0,2000,0.24927210127888688,10212000.0,0.5,exp_5.00e-01_coeff_2.46e+02_radius_2.49e-01,0.3999999930275292,0.39999999879836107,,0.4,1.0304824857269677e-06,120949.21783315635
0,2000,57.83324341899885,969.04,0.5,exp_5.00e-01_coeff_1.55e+01_radius_5.78e+01,0.3840261389343771,0.396872283435305,,0.39342,13.970399865338717,2.0698492518630807
0,2000,0.004265785424100659,2538.3,0.5,exp_5.00e-01_coeff_6.71e-02_radius_4.27e-03,0.399999519334244,0.3999999165368393,,0.4,0.004042132036104117,0.5276652749092412
0,2000,27.197476193457604,63.32899999999999,0.5,exp_5.00e-01_coeff_4.16e+00_radius_2.72e+01,0.3138533743255221,0.3781057948355285,,0.35869,42.696057602441826,0.31850102469299363
